id,fullname,shortname,categoryid,summary,format,visible,startdate,enddate,tag,imageUrl,updateFlag,deleteFlag,area
,チュートリアル,tutorial,,,topics,1,,,,,0,0,学習ガイド
,学習に必要な心得集,mindset,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/mindset.webp,0,0,学習ガイド
,デザイン基礎,design-basics,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/design-basics.webp,0,0,Webデザイン
,Figma,figma,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/figma.webp,0,0,Webデザイン
,Canva,canva,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/canva.webp,0,0,Webデザイン
,ライティング,writing,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/writing.webp,0,0,Webデザイン
,イラストレーター,illustrator,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/illustrator.webp,0,0,Webデザイン
,フォトショップ,photoshop,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/photoshop.webp,0,0,Webデザイン
,バナー100本道場,banner-dojo,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/banner-dojo.webp,0,0,Webデザイン
,実践課題：ロゴデザイン,practice-logo,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/practice-logo.webp,0,0,Webデザイン
,実践課題：名刺作成,practice-business-card,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/practice-business-card.webp,0,0,Webデザイン
,実践課題：SNSデザイン,practice-sns-design,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/practice-sns-design.webp,0,0,Webデザイン
,実践課題：ECバナー・パッケージ,practice-ec-banner,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/practice-ec-banner.webp,0,0,Webデザイン
,実践課題：LP制作,practice-lp,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/practice-lp.webp,0,0,Webデザイン
,実践課題：ポートフォリオサイト制作,practice-portfolio-site,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/practice-portfolio-site.webp,0,0,Webデザイン
,Wix,wix,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/wix.webp,0,0,Web制作
,WordPress,wordpress,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/wordpress.webp,0,0,Web制作
,VSCode環境セットアップ,vscode-setup,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/vscode-setup.webp,0,0,Web制作
,HTML/CSS,html-css,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/html-css.webp,0,0,Web制作
,JavaScript,javascript,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/javascript.webp,0,0,Web制作
,jQuery,jquery,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/jquery.webp,0,0,Web制作
,Shopify,shopify,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/shopify.webp,0,0,Web制作
,デベロッパーツール,devtools,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/devtools.webp,0,0,Web制作
,CapCut,capcut,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/capcut.webp,0,0,動画編集
,Premiere Pro,premiere-pro,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/premiere-pro.webp,0,0,動画編集
,実践課題：サムネイル制作入門,practice-thumbnail,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/practice-thumbnail.webp,0,0,動画編集
,実践課題：ショート動画制作,practice-short-video,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/practice-short-video.webp,0,0,動画編集
,実践課題：Web広告動画制作,practice-ad-video,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/practice-ad-video.webp,0,0,動画編集
,実践課題：サービス紹介動画制作,practice-service-video,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/practice-service-video.webp,0,0,動画編集
,実践課題：ポートフォリオムービー制作,practice-portfolio-movie,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/practice-portfolio-movie.webp,0,0,動画編集
,マーケティング概論,marketing-overview,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/marketing-overview.webp,0,0,Webマーケティング
,Google Analytics,google-analytics,,,topics,1,,,,,0,0,Webマーケティング
,Google Search Console,search-console,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/search-console.webp,0,0,Webマーケティング
,ヒートマップ,heatmap,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/heatmap.webp,0,0,Webマーケティング
,SEO,seo,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/seo.webp,0,0,Webマーケティング
,Meta広告運用,meta-ads,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/meta-ads.webp,0,0,Webマーケティング
,Google広告運用,google-ads,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/google-ads.webp,0,0,Webマーケティング
,TikTok広告運用,tiktok-ads,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/tiktok-ads.webp,0,0,Webマーケティング
,LINE広告運用,line-ads,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/line-ads.webp,0,0,Webマーケティング
,MEO運用,meo,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/meo.webp,0,0,Webマーケティング
,HPB添削,hpb-review,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/hpb-review.webp,0,0,Webマーケティング
,インスタグラム運用,instagram,,,topics,1,,,,,0,0,SNS運用
,X運用,x,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/x.webp,0,0,SNS運用
,ショート動画クリエイター育成カリキュラム,short-video-creator,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/short-video-creator.webp,0,0,SNS運用
,インフルエンサーMaria流・人を惹きつけるショート動画企画術,maria-short-video,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/maria-short-video.webp,0,0,SNS運用
,SNSバズ,sns-buzz,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/sns-buzz.webp,0,0,SNS運用
,実機カメラ,camera,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/camera.webp,0,0,SNS運用
,生成AI基礎,genai-basics,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/genai-basics.webp,0,0,生成AI基礎
,生成AIパスポート認定講座,genai-passport,,,topics,1,,,,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/images/courses/genai-passport.webp,0,0,生成AI基礎
