bucket,order,section,title,htmlFile,htmlUrl,sourceUrl
ai-designer,0,chapter-00,Lesson2 1ヶ月後の到達点と学習の心得,assets/materials/ai-designer/html/cazsk.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/cazsk.html,https://learn.webcoach.jp/ai-designer/chapter-00/CazSk
ai-designer,1,chapter-00,Lesson3 学習マインドセットと学びログ,assets/materials/ai-designer/html/ptuq5.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/ptuq5.html,https://learn.webcoach.jp/ai-designer/chapter-00/PTUq5
ai-designer,2,chapter-00,Lesson1 WEBCOACHへようこそ,assets/materials/ai-designer/html/qao0d.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/qao0d.html,https://learn.webcoach.jp/ai-designer/chapter-00/qao0d
ai-designer,3,chapter-01,ロードマップ確認とツールセットアップ,assets/materials/ai-designer/html/33kqh.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/33kqh.html,https://learn.webcoach.jp/ai-designer/chapter-01/33kqh
ai-designer,4,chapter-01,Lesson3 ファイル管理の基本を身につける,assets/materials/ai-designer/html/pa6b2.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/pa6b2.html,https://learn.webcoach.jp/ai-designer/chapter-01/Pa6B2
ai-designer,5,chapter-01,Lesson1 AI著作権リスクと商用利用の確認フロー,assets/materials/ai-designer/html/yljsj.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/yljsj.html,https://learn.webcoach.jp/ai-designer/chapter-01/YlJsj
ai-designer,6,chapter-02,Lesson5 AI生成物をCanvaで仕上げる — Magic Layers 5ステップ,assets/materials/ai-designer/html/0ytgv.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/0ytgv.html,https://learn.webcoach.jp/ai-designer/chapter-02/0yTgV
ai-designer,7,chapter-02,Lesson1 ChatGPTを使い倒そう,assets/materials/ai-designer/html/5kmqm.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/5kmqm.html,https://learn.webcoach.jp/ai-designer/chapter-02/5kmQm
ai-designer,8,chapter-02,Lesson6 仕上げ前の最終チェック,assets/materials/ai-designer/html/pefvg.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/pefvg.html,https://learn.webcoach.jp/ai-designer/chapter-02/PeFVG
ai-designer,9,chapter-02,Lesson3 依頼書を読み解いて生成・壁打ち,assets/materials/ai-designer/html/tclmk.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/tclmk.html,https://learn.webcoach.jp/ai-designer/chapter-02/TClmk
ai-designer,10,chapter-02,Lesson2 プロンプト6要素フレームワーク,assets/materials/ai-designer/html/cfcse.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/cfcse.html,https://learn.webcoach.jp/ai-designer/chapter-02/cfcse
ai-designer,11,chapter-02,Lesson4 AI品質チェック3ステップ,assets/materials/ai-designer/html/jpuim.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/jpuim.html,https://learn.webcoach.jp/ai-designer/chapter-02/jpuiM
ai-designer,12,chapter-03,Lesson5 こだわりポイント100字で言語化する,assets/materials/ai-designer/html/ataq2.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/ataq2.html,https://learn.webcoach.jp/ai-designer/chapter-03/Ataq2
ai-designer,13,chapter-03,Lesson1 SNS広告バナーを作る,assets/materials/ai-designer/html/oft67.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/oft67.html,https://learn.webcoach.jp/ai-designer/chapter-03/OFT67
ai-designer,14,chapter-03,Lesson3 新規依頼書で3媒体を自力制作する,assets/materials/ai-designer/html/vqdzz.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/vqdzz.html,https://learn.webcoach.jp/ai-designer/chapter-03/Vqdzz
ai-designer,15,chapter-03,Lesson4 プロのデザイナーとして納品前チェックを行う,assets/materials/ai-designer/html/iynjy.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/iynjy.html,https://learn.webcoach.jp/ai-designer/chapter-03/iynJY
ai-designer,16,chapter-03,Lesson2 チラシ・Instagramフィード投稿を作る,assets/materials/ai-designer/html/jdpnx.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/jdpnx.html,https://learn.webcoach.jp/ai-designer/chapter-03/jDpnx
ai-designer,17,chapter-03,Lesson6 追加演習バンク（任意・自主練用）,assets/materials/ai-designer/html/tpoqd.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/tpoqd.html,https://learn.webcoach.jp/ai-designer/chapter-03/tPoqD
ai-designer,18,chapter-04,Lesson1 ポートフォリオサイトの設計,assets/materials/ai-designer/html/0lezf.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/0lezf.html,https://learn.webcoach.jp/ai-designer/chapter-04/0lezf
ai-designer,19,chapter-04,Lesson2 foriioで制作実績を公開する,assets/materials/ai-designer/html/ff7xe.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/ff7xe.html,https://learn.webcoach.jp/ai-designer/chapter-04/Ff7Xe
ai-designer,20,chapter-05,Lesson3 単価の考え方と見積書テンプレートを設計する,assets/materials/ai-designer/html/3pwe7.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/3pwe7.html,https://learn.webcoach.jp/ai-designer/chapter-05/3pwE7
ai-designer,21,chapter-05,Lesson1 クラウドワークスに登録してプロフィールを完成させる,assets/materials/ai-designer/html/mo6kf.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/mo6kf.html,https://learn.webcoach.jp/ai-designer/chapter-05/MO6kf
ai-designer,22,chapter-05,Lesson4 初回通常応募2件を完了する,assets/materials/ai-designer/html/nf4sp.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/nf4sp.html,https://learn.webcoach.jp/ai-designer/chapter-05/nf4sP
ai-designer,23,chapter-05,Lesson2 ChatGPTで業務テキストを生成する,assets/materials/ai-designer/html/rulkk.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/rulkk.html,https://learn.webcoach.jp/ai-designer/chapter-05/rULKk
ai-designer,24,chapter-05,Lesson5 バナーコンペに初挑戦する,assets/materials/ai-designer/html/ulmuh.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/ulmuh.html,https://learn.webcoach.jp/ai-designer/chapter-05/ulmuH
business-skill,0,コラム,コラム：これから求められるWEBクリエイターとは？,assets/materials/business-skill/html/er0se.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/er0se.html,https://learn.webcoach.jp/business-skill/%E3%82%B3%E3%83%A9%E3%83%A0/er0se
business-skill,1,コラム,コラム：継続して活躍できる人のマインドセット,assets/materials/business-skill/html/z79nc.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/z79nc.html,https://learn.webcoach.jp/business-skill/%E3%82%B3%E3%83%A9%E3%83%A0/z79Nc
business-skill,2,攻略論,エンド営業 -攻略論-,assets/materials/business-skill/html/zo57v.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/zo57v.html,https://learn.webcoach.jp/business-skill/%E6%94%BB%E7%95%A5%E8%AB%96/ZO57v
business-skill,3,攻略論,クラウドソーシング -攻略論-,assets/materials/business-skill/html/dkq7c.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/dkq7c.html,https://learn.webcoach.jp/business-skill/%E6%94%BB%E7%95%A5%E8%AB%96/dkQ7C
business-skill,4,攻略論,WEB制作会社営業 -攻略論-,assets/materials/business-skill/html/tqg7r.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/tqg7r.html,https://learn.webcoach.jp/business-skill/%E6%94%BB%E7%95%A5%E8%AB%96/tQG7r
business-skill,5,案件提供,案件：新規商品企画～ランディングページ制作,assets/materials/business-skill/html/vnqew.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/vnqew.html,https://learn.webcoach.jp/business-skill/%E6%A1%88%E4%BB%B6%E6%8F%90%E4%BE%9B/VNQEW
